datetime_col,Total,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2015-01-01 00:00:00,8.5220648,7.764878,9.5435518,9.0947758,8.8466875,7.9193219,10.5126478,4.0515085,6.2067043
2015-02-01 00:00:00,8.5342393,8.0067418,9.0444151,9.0198485,9.1924359,7.4291484,10.6900776,4.2797998,6.8786847
2015-03-01 00:00:00,8.1567004,7.854217,8.535019,8.6864083,8.3702706,7.0130538,10.2364565,5.3131849,6.9297717
2015-04-01 00:00:00,8.3212338,8.2728123,8.0901923,8.9182043,8.6669515,7.2085874,10.5346138,4.0516142,6.379935
2015-05-01 00:00:00,8.3809149,8.1882887,8.7665964,8.5089418,9.7567686,7.5218647,10.8981417,4.2635067,5.8076326
2015-06-01 00:00:00,8.3822736,8.0340602,8.672681,8.2529657,10.1679499,7.4889725,11.2898337,4.7506494,7.7267746
2015-07-01 00:00:00,8.6298741,8.5616026,8.882055,8.4535622,9.8552299,8.1886729,10.0993282,4.8285733,6.9620143
2015-08-01 00:00:00,8.4380672,8.2900402,8.4106478,8.8049724,9.8228689,7.9851444,9.0471968,4.2403232,6.7421889
2015-09-01 00:00:00,8.7892248,8.616089,9.5473952,8.4574273,10.2176857,8.2896137,9.9413911,4.2194723,6.7613043
2015-10-01 00:00:00,8.713079,7.7227171,9.4830675,8.8834604,10.6563119,8.8396498,10.2221996,5.1193548,6.3497395
2015-11-01 00:00:00,8.5781776,7.5283207,9.4107814,8.3546102,11.0991302,9.1363967,10.5271583,5.3031779,6.1415158
2015-12-01 00:00:00,8.4518776,7.5713537,9.0414853,8.557993,10.201252,9.0430346,10.0914779,5.4936198,7.1616594
2016-01-01 00:00:00,8.5207941,7.887886,9.0243017,8.3965067,10.6103071,8.8949148,9.9456022,4.9489148,7.2340992
2016-02-01 00:00:00,8.3927451,7.6378101,8.9088272,8.2899992,9.4734549,9.1706931,8.2189181,5.2182511,5.435975
2016-03-01 00:00:00,8.3956731,8.2293254,8.7492023,8.0579702,9.2230608,8.5971282,8.4876396,5.1583607,6.3999923
2016-04-01 00:00:00,8.619145,7.8012044,9.214727,8.3048145,10.6898037,8.6848976,9.6931065,5.42165,5.8813652
2016-05-01 00:00:00,8.3170859,7.7894126,8.7834927,7.9313632,10.4289937,8.9825806,9.266328,5.0069998,6.1143031
2016-06-01 00:00:00,8.7749644,8.196131,9.4792014,8.2437278,10.318086,9.2534089,9.5958223,4.908019,5.7677096
2016-07-01 00:00:00,9.0040119,8.4764666,9.1368423,8.8862365,10.849784,10.1659209,9.3759227,4.9304423,5.4418418
2016-08-01 00:00:00,8.8077026,8.1646638,9.5299348,8.5173358,10.2883289,9.3581015,9.4597575,4.82014,5.4987428
2016-09-01 00:00:00,8.7242319,8.1153114,9.3688896,8.6240924,10.2631066,9.5527657,9.0019796,4.7005347,4.7685648
2016-10-01 00:00:00,8.5356583,7.5958288,9.4775399,8.4845487,9.9838532,8.9346451,9.6619556,4.5179975,4.9571672
2016-11-01 00:00:00,8.4978666,8.0550297,8.9441172,8.1478806,9.6563764,9.1991887,10.5143694,4.5587487,5.3969089
2016-12-01 00:00:00,8.6009455,7.9450108,9.3438668,8.3200707,9.8021701,9.5039941,9.3928617,5.7928408,7.5527084
2017-01-01 00:00:00,8.7904302,8.1394141,9.1555337,8.7370712,10.0539853,10.0437273,9.4979453,6.6725333,6.8815138
2017-02-01 00:00:00,9.066791,7.9344154,9.0257872,9.3858426,10.7073042,10.9308735,10.279374,5.5717255,5.5936835
2017-03-01 00:00:00,8.6183195,7.5287643,8.8590469,8.5627242,10.4063744,10.3032357,9.9513567,4.9830845,7.0764541
2017-04-01 00:00:00,8.7545168,8.6020395,8.8607822,7.5632155,10.0417097,10.0460926,10.8270344,5.2277977,6.1055267
2017-05-01 00:00:00,8.669734,8.0420156,8.5572685,9.0339886,9.7775585,10.3434508,9.5249237,5.0715819,6.3001355
2017-06-01 00:00:00,8.4198218,7.4527573,8.412878,8.8554155,9.4876612,9.9078201,10.0614261,4.8962254,6.3688588
2017-07-01 00:00:00,8.5265546,7.8307853,8.5732523,8.7183476,9.8736974,9.6127178,10.0007683,4.5709569,6.567312
2017-08-01 00:00:00,8.6048628,7.7819613,8.7812703,9.0569555,9.7825267,9.4262962,10.7522794,4.0460651,6.3552032
2017-09-01 00:00:00,8.5496273,7.9737576,8.9330129,8.5358943,9.5900892,9.4037812,10.5097348,4.3171541,5.7199271
2017-10-01 00:00:00,8.4972485,8.0551134,8.490353,8.3822165,9.2143186,10.0156975,10.6209197,4.3525856,6.015809
2017-11-01 00:00:00,8.4995721,8.161412,8.4011734,8.918455,8.802823,9.4311984,10.2024465,4.6222144,5.7056589
2017-12-01 00:00:00,8.4686737,8.7750648,8.1601649,8.5322736,9.2857756,9.0529946,10.9900891,4.840384,5.6779035
2018-01-01 00:00:00,8.7455822,8.5260433,8.9061727,9.1233513,9.5775257,8.7650576,10.999103,5.20731,6.1528672
2018-02-01 00:00:00,8.5341379,8.2099977,8.1557103,8.7789156,9.9641033,9.0295537,10.7536255,4.8710603,5.6252078
2018-03-01 00:00:00,8.5954485,7.9919225,8.3632882,9.0928681,10.3749037,9.3209057,9.9232287,3.9837239,5.8928883
2018-04-01 00:00:00,8.4701937,8.2032172,7.8035158,8.7835446,9.4624918,9.3643294,9.7284879,4.1084315,6.6133986
2018-05-01 00:00:00,8.4228429,7.8254461,7.8338201,9.6970441,9.9138617,9.3301803,9.6564037,3.6756671,5.1044446
2018-06-01 00:00:00,8.5747457,8.2985443,8.2679447,8.9633123,9.7617094,9.2867193,9.3834543,4.4779362,5.8245872
2018-07-01 00:00:00,8.4593568,7.9679725,8.2956204,8.9814908,9.5590026,9.2468845,9.7378096,3.1874579,5.9078558
2018-08-01 00:00:00,8.1968396,7.322602,7.9405834,8.6599316,9.495342,10.4187943,8.8878367,4.3685784,6.2093395
2018-09-01 00:00:00,8.3138652,7.9320788,7.7419532,8.7436155,9.1295464,9.9055562,9.946530599999999,4.1826008,6.7215609
2018-10-01 00:00:00,8.2732313,7.9747075,7.7850779,8.5763862,9.4034238,9.4548905,10.5247253,3.9379605,6.026342
2018-11-01 00:00:00,8.4805905,7.8892765,8.0894768,9.3138911,9.5283969,9.2251831,9.8955313,4.3952333,8.2013463
2018-12-01 00:00:00,8.3147941,7.8142998,8.2561009,9.0517176,9.15792,9.4448747,10.1874787,4.8114731,6.5437494
2019-01-01 00:00:00,8.1475974,7.5497697,8.1334018,8.569168,8.9761737,9.2932804,9.6385403,5.4395452,6.6346599
2019-02-01 00:00:00,8.0706645,7.6260196,8.2575481,7.9989171,8.6447224,8.6942575,9.944677,5.5718613,5.7282539
2019-03-01 00:00:00,8.25701,7.4507681,8.4425426,8.8317231,8.8306034,8.8298609,10.0426343,6.0308745,5.9389749
2019-04-01 00:00:00,8.5050441,7.6921195,8.4302688,9.3891918,8.6914278,8.9220601,10.5050138,5.5477527,5.2647995
2019-05-01 00:00:00,8.557343,7.7717689,9.2827289,9.0426943,8.6176544,8.7940286,10.4411339,6.3376913,5.6150778
2019-06-01 00:00:00,8.1791445,7.5309537,8.0469872,8.5332225,9.0488699,9.4904924,10.2470612,5.8226149,5.0627707
2019-07-01 00:00:00,8.4081974,7.843571,8.5857761,8.5145669,9.1810012,9.2631669,10.2339453,6.0346613,5.380042
2019-08-01 00:00:00,8.5387939,8.2370461,8.4855118,8.4139029,9.0038033,9.6587681,10.9883545,5.0559682,7.5504172
2019-09-01 00:00:00,8.3445601,7.8680904,8.0349913,8.5182126,9.5105221,9.5601381,11.0735406,5.5190602,5.1047711
2019-10-01 00:00:00,8.5094644,7.9413913,8.204126,8.7828377,9.8165728,10.036996,11.0822483,5.6595587,5.119632
2019-11-01 00:00:00,8.25344,7.7848735,8.3228855,8.1583653,9.2896313,9.0580109,10.5278277,5.2914462,6.6208541
2019-12-01 00:00:00,8.2344146,8.0811854,7.996744,8.5553302,9.4878847,9.2007169,11.242276,5.8986138,5.9796458
2020-01-01 00:00:00,8.6077555,8.4516397,8.2898329,8.8737799,10.1282621,8.9223187,11.3946881,5.7077747,6.6734978
2020-02-01 00:00:00,8.6021688,8.5845871,8.2057067,8.837131,9.8598735,8.865504,11.3215554,6.1040267,4.5931651
2020-03-01 00:00:00,8.8062954,8.4427091,8.5001057,8.9023276,10.4211293,9.5015881,12.0775289,5.8946085,5.4394466
2020-04-01 00:00:00,13.7928407,13.1319418,14.4838577,12.6899689,15.619456,14.2218173,16.5802265,10.2613535,8.9112162
2020-05-01 00:00:00,13.1010446,13.3814309,14.6476128,12.108898,12.8973525,12.0142465,14.2485768,10.0089558,5.543815
2020-06-01 00:00:00,11.6585215,11.2459433,13.1579491,11.0867388,12.1890062,10.6383643,12.2855382,10.0058038,6.7339535
2020-07-01 00:00:00,11.2181719,10.6751744,13.1276921,10.5095232,11.0581186,10.4787555,12.4783985,6.8214152,6.6524726
2020-08-01 00:00:00,11.2740279,10.3138,14.5102565,9.9673506,11.7359059,9.9333449,12.2910989,7.6564872,5.6385648
2020-09-01 00:00:00,11.4020611,10.1931389,14.9415991,10.6800708,11.0274524,9.4440539,10.7412786,5.9622011,6.1364256
2020-10-01 00:00:00,10.3631315,9.737277,12.9190487,9.4783373,10.0898407,8.6340066,10.4768563,7.7683826,7.3712259
2020-11-01 00:00:00,9.2910535,8.8311016,10.2063245,9.3510899,10.631538,7.9398799,10.1187086,5.9385037,5.9110044
2020-12-01 00:00:00,8.5371248,8.5321496,8.9411972,8.6662539,10.3395451,7.8356326,9.8287355,6.7369629,6.2749486
